model,brand,year
116Ia,BMW,2015
118Ia,BMW,2012
118Ia/,BMW,2015
120I,BMW,2009
120Ia,BMW,2012
125I,BMW,2016
130I,BMW,2009
130Ia,BMW,2009
135Ia,BMW,2012
2008,Peugeot,32000
206,Peugeot,2008
207,Peugeot,2015
208,Peugeot,32000
220Itourer,BMW,32000
225I,BMW,2016
2500,RAM,32000
300,Chrysler,2009
3008,Peugeot,2014
307,Peugeot,2008
308,Peugeot,2015
316I,BMW,2015
318Ia,BMW,2012
320,LIFAN,2012
320I,BMW,2007
320Ia,BMW,2012
325Ia,BMW,2012
328Ia,BMW,2014
330Ia,BMW,2007
335I,BMW,2014
335Ia,BMW,2012
350Z,Nissan,2009
407,Peugeot,2009
408,Peugeot,32000
420I,BMW,2016
428I,BMW,2016
430I,BMW,32000
435Ia,BMW,2015
458,Ferrari,32000
488,Ferrari,32000
500,Fiat,2015
508,Peugeot,2014
528Ia,BMW,2014
530,LIFAN,32000
530I,BMW,32000
530I/Ia,BMW,2010
535Ia,BMW,2013
540I,BMW,32000
550,MG,2012
550Ia,BMW,2012
612,Ferrari,2011
620,LIFAN,2012
640I,BMW,2015
650Ci,BMW,2012
650I,BMW,2016
650Ia,BMW,2012
718,Porsche,32000
750I,BMW,2015
750Ia,BMW,2014
750Il,BMW,32000
750Ila,BMW,2012
760Il,BMW,2012
911,Porsche,32000
A1,Audi,2014
A3,Audi,2007
A4,Audi,2016
A5,Audi,2009
A6,Audi,32000
A7,Audi,32000
A8,Audi,32000
Accord,Honda,2012
Actyon,SSANGYONG,2012
Agile,GM - Chevrolet,2013
Aircross,Citroën,32000
Airtrek,Mitsubishi,2007
Altima,Nissan,2014
Amarok,VW - VolksWagen,2013
Argo,Fiat,32000
Astra,GM - Chevrolet,2011
Asx,Mitsubishi,2016
Asx-S,Mitsubishi,2016
Aumark,FOTON,32000
Aventador,LAMBORGHINI,32000
Azera,Hyundai,32000
Berlingo,Citroën,2007
Bongo,Kia Motors,32000
Bora,VW - VolksWagen,2011
Boxer,Peugeot,32000
Boxster,Porsche,2013
Bravo,Fiat,2012
Buggy,BRM,32000
Buggy/M-8/M-8,BRM,32000
C-180,Mercedes-Benz,32000
C-200,Mercedes-Benz,32000
C-230,Mercedes-Benz,2007
C-250,Mercedes-Benz,32000
C-280,Mercedes-Benz,2009
C-300,Mercedes-Benz,32000
C-350,Mercedes-Benz,2008
C-43,Mercedes-Benz,32000
C-450,Mercedes-Benz,2016
C-63,Mercedes-Benz,32000
C3,Citroën,2017
C30,Volvo,2012
C4,Citroën,2014
C5,Citroën,2008
C6,Citroën,2008
C70,Volvo,2011
Cadenza,Kia Motors,32000
California,Ferrari,32000
Camaro,GM - Chevrolet,32000
Camry,Toyota,32000
Captiva,GM - Chevrolet,2013
Captur,Renault,32000
Caravan,Chrysler,2007
Carens,Kia Motors,2013
Cargo,CHANA,2012
Carnival,Kia Motors,2015
Cayenne,Porsche,32000
Cayman,Porsche,2016
Celer,CHERY,32000
Celta,GM - Chevrolet,2007
Cerato,Kia Motors,2014
Cherokee,Jeep,32000
Cielo,CHERY,2012
City,Honda,32000
Civic,Honda,2015
Cl-500,Mercedes-Benz,2011
Cl-600,Mercedes-Benz,2011
Cl-63,Mercedes-Benz,2011
Cl-65,Mercedes-Benz,2011
Cla-200,Mercedes-Benz,32000
Cla-250,Mercedes-Benz,32000
Cla-45,Mercedes-Benz,32000
Classe,Mercedes-Benz,2015
Classic,GM - Chevrolet,2015
Clc,Mercedes-Benz,2011
Clio,Renault,2008
Clk-350,Mercedes-Benz,2009
Clk-500,Mercedes-Benz,2007
Cls-350,Mercedes-Benz,2014
Cls-400,Mercedes-Benz,32000
Cls-500,Mercedes-Benz,2010
Cls-63,Mercedes-Benz,32000
Cobalt,GM - Chevrolet,2014
Compass,Jeep,32000
Cooper,MINI,32000
Corolla,Toyota,32000
Corsa,GM - Chevrolet,2009
Corvette,GM - Chevrolet,2015
Courier,Ford,2013
Cr-V,Honda,2007
Creta,Hyundai,32000
Crossfox,VW - VolksWagen,32000
Cruze,GM - Chevrolet,2016
Ct200H,Lexus,32000
Dawn,Rolls-Royce,32000
Db9,ASTON MARTIN,2016
Defender,Land Rover,2011
Discovery,Land Rover,32000
Discovery3,Land Rover,2009
Discovery4,Land Rover,2011
Doblo,Fiat,2011
Ds3,Citroën,2014
Ds4,Citroën,32000
Ds5,Citroën,32000
Ducato,Fiat,2009
Durango,Dodge,2013
Duster,Renault,2015
E-250,Mercedes-Benz,2016
