brand,id,value,year,model,version
Agrale,4,54009,2007,Marruá, 2.8 12V 132cv TDI Diesel
Agrale,4564,125933,2015,Marruá, AM 100 2.8  CS TDI Diesel
Agrale,4564,118974,2014,Marruá, AM 100 2.8  CS TDI Diesel
Agrale,4564,111882,2013,Marruá, AM 100 2.8  CS TDI Diesel
Agrale,4564,100993,2012,Marruá, AM 100 2.8  CS TDI Diesel
Agrale,4564,76650,2011,Marruá, AM 100 2.8  CS TDI Diesel
Agrale,4564,58798,2010,Marruá, AM 100 2.8  CS TDI Diesel
Agrale,4564,52289,2009,Marruá, AM 100 2.8  CS TDI Diesel
Agrale,4564,49945,2008,Marruá, AM 100 2.8  CS TDI Diesel
Agrale,4563,131487,2015,Marruá, AM 100 2.8 CD TDI Diesel
Agrale,4563,123463,2014,Marruá, AM 100 2.8 CD TDI Diesel
Agrale,4563,113912,2013,Marruá, AM 100 2.8 CD TDI Diesel
Agrale,4563,105310,2012,Marruá, AM 100 2.8 CD TDI Diesel
Agrale,4563,93312,2011,Marruá, AM 100 2.8 CD TDI Diesel
Agrale,4563,64332,2010,Marruá, AM 100 2.8 CD TDI Diesel
Agrale,4563,59887,2009,Marruá, AM 100 2.8 CD TDI Diesel
Agrale,4563,57314,2008,Marruá, AM 100 2.8 CD TDI Diesel
Agrale,4563,54693,2007,Marruá, AM 100 2.8 CD TDI Diesel
Agrale,4566,125628,2015,Marruá, AM 150 2.8  CS TDI Diesel
Agrale,4566,118007,2014,Marruá, AM 150 2.8  CS TDI Diesel
Agrale,4566,110944,2013,Marruá, AM 150 2.8  CS TDI Diesel
Agrale,4566,100562,2012,Marruá, AM 150 2.8  CS TDI Diesel
Agrale,4566,83721,2011,Marruá, AM 150 2.8  CS TDI Diesel
Agrale,4566,62152,2010,Marruá, AM 150 2.8  CS TDI Diesel
Agrale,4566,57992,2009,Marruá, AM 150 2.8  CS TDI Diesel
Agrale,4566,54830,2008,Marruá, AM 150 2.8  CS TDI Diesel
Agrale,4565,140350,2015,Marruá, AM 150 2.8 CD TDI Diesel
Agrale,4565,131979,2014,Marruá, AM 150 2.8 CD TDI Diesel
Agrale,4565,125259,2013,Marruá, AM 150 2.8 CD TDI Diesel
Agrale,4565,120244,2012,Marruá, AM 150 2.8 CD TDI Diesel
Agrale,4565,92536,2011,Marruá, AM 150 2.8 CD TDI Diesel
Agrale,4565,70812,2010,Marruá, AM 150 2.8 CD TDI Diesel
Agrale,4565,65997,2009,Marruá, AM 150 2.8 CD TDI Diesel
Agrale,4565,63745,2008,Marruá, AM 150 2.8 CD TDI Diesel
Agrale,4567,216206,32000,Marruá, AM 200 2.8  CD TDI Diesel
Agrale,4567,175994,2017,Marruá, AM 200 2.8  CD TDI Diesel
Agrale,4567,166622,2016,Marruá, AM 200 2.8  CD TDI Diesel
Agrale,4567,142810,2015,Marruá, AM 200 2.8  CD TDI Diesel
Agrale,4567,134194,2014,Marruá, AM 200 2.8  CD TDI Diesel
Agrale,4567,127809,2013,Marruá, AM 200 2.8  CD TDI Diesel
Agrale,4567,122426,2012,Marruá, AM 200 2.8  CD TDI Diesel
Agrale,4567,94555,2011,Marruá, AM 200 2.8  CD TDI Diesel
Agrale,4567,79596,2010,Marruá, AM 200 2.8  CD TDI Diesel
Agrale,4567,76550,2009,Marruá, AM 200 2.8  CD TDI Diesel
Agrale,4567,74239,2008,Marruá, AM 200 2.8  CD TDI Diesel
Agrale,4568,196021,32000,Marruá, AM 200 2.8 CS TDI Diesel
Agrale,4568,160040,2017,Marruá, AM 200 2.8 CS TDI Diesel
Agrale,4568,151529,2016,Marruá, AM 200 2.8 CS TDI Diesel
Agrale,4568,125794,2015,Marruá, AM 200 2.8 CS TDI Diesel
Agrale,4568,120127,2014,Marruá, AM 200 2.8 CS TDI Diesel
Agrale,4568,111937,2013,Marruá, AM 200 2.8 CS TDI Diesel
Agrale,4568,100880,2012,Marruá, AM 200 2.8 CS TDI Diesel
Agrale,4568,84286,2011,Marruá, AM 200 2.8 CS TDI Diesel
Agrale,4568,63557,2010,Marruá, AM 200 2.8 CS TDI Diesel
Agrale,4568,61246,2009,Marruá, AM 200 2.8 CS TDI Diesel
Agrale,4568,56698,2008,Marruá, AM 200 2.8 CS TDI Diesel
Agrale,4568,54812,2007,Marruá, AM 200 2.8 CS TDI Diesel
Agrale,4569,78071,2011,Marruá, AM 50 2.8 140cv TDI Diesel
Agrale,4569,74824,2010,Marruá, AM 50 2.8 140cv TDI Diesel
Agrale,4569,68305,2009,Marruá, AM 50 2.8 140cv TDI Diesel
Agrale,4569,61716,2008,Marruá, AM 50 2.8 140cv TDI Diesel
ASTON MARTIN,6906,1431054,2016,Db9, Coupe 6.0 V12 510cv
ASTON MARTIN,6906,1031094,2014,Db9, Coupe 6.0 V12 510cv
ASTON MARTIN,6340,552936,2011,Db9, Volante 6.0 V12 470cv
ASTON MARTIN,6341,798266,2012,Rapide, 6.0 V12 477cv
ASTON MARTIN,6341,631529,2011,Rapide, 6.0 V12 477cv
ASTON MARTIN,6907,1837855,32000,Rapide, S 6.0 V12 550cv
ASTON MARTIN,6907,1543104,2016,Rapide, S 6.0 V12 550cv
ASTON MARTIN,6907,1212825,2014,Rapide, S 6.0 V12 550cv
ASTON MARTIN,6909,2685739,32000,Vanquish, V12 6.0 565cv
ASTON MARTIN,6909,1989308,2016,Vanquish, V12 6.0 565cv
ASTON MARTIN,6909,1538597,2014,Vanquish, V12 6.0 565cv
ASTON MARTIN,6342,606562,2012,Vantage, 6.0 V12 510cv
ASTON MARTIN,6343,843798,32000,Vantage, Coupe 4.7 V8 425cv
ASTON MARTIN,6343,702728,2016,Vantage, Coupe 4.7 V8 425cv
ASTON MARTIN,6343,658626,2014,Vantage, Coupe 4.7 V8 425cv
ASTON MARTIN,6343,462136,2012,Vantage, Coupe 4.7 V8 425cv
ASTON MARTIN,6343,320283,2011,Vantage, Coupe 4.7 V8 425cv
ASTON MARTIN,6344,373372,2011,Vantage, Roadster 4.7 V8 420cv
ASTON MARTIN,6908,1710120,32000,Vantage, S 6.0 V12 565cv
ASTON MARTIN,6908,1264629,2016,Vantage, S 6.0 V12 565cv
ASTON MARTIN,6908,1042285,2015,Vantage, S 6.0 V12 565cv
ASTON MARTIN,6345,464261,2012,Vantage, S Coupe 4.7 V8 430cv
ASTON MARTIN,6346,608074,2012,Virage, Coupe 6.0 V12 490cv
Audi,5496,65754,2014,A1, 1.4 TFSI 122cv S-tronic 3p
Audi,5496,61694,2013,A1, 1.4 TFSI 122cv S-tronic 3p
